Model,Experiment,Val_Loss,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_AUC,Final_QWK
DenseNet121_A0_focal_finetune,A0,0.0917,0.7462,0.8719,0.6317,0.5949,0.9127,0.8213
DenseNet121_A0_mc_adaptive_cbam_finetune,A0,0.0875,0.7394,0.8848,0.5553,0.5624,0.9125,0.8129
DenseNet121_A0_focal_cbam_finetune,A0,0.0977,0.7094,0.834,0.5484,0.538,0.9034,0.8013
DenseNet121_A0_adaptive_cbam_finetune,A0,0.0936,0.7299,0.8534,0.5798,0.5663,0.9133,0.8085
DenseNet121_A0_baseline_finetune,A0,0.7895,0.6999,0.8253,0.5607,0.5255,0.8982,0.7744
DenseNet121_A1_focal_cbam_finetune,A1,0.0477,0.8427,0.9009,0.7457,0.8425,0.9717,0.9166
DenseNet121_A1_mc_adaptive_cbam_finetune,A1,0.0469,0.836,0.9203,0.7169,0.8368,0.9736,0.9091
DenseNet121_A1_focal_finetune,A1,0.0565,0.8105,0.8859,0.7014,0.8123,0.9625,0.8901
DenseNet121_A1_adaptive_cbam_finetune,A1,0.0584,0.7895,0.8754,0.6737,0.7907,0.9652,0.8753
DenseNet121_A1_baseline_DenseNet121_finetune,A1,0.0894,0.7313,0.843,0.5651,0.7316,0.9366,0.8462
DenseNet121_B0_mc_adaptive_cbam_finetune,B0,0.0953,0.7162,0.8874,0.5375,0.5575,0.9025,0.8267
DenseNet121_B0_focal_cbam_finetune,B0,0.0993,0.704,0.833,0.5784,0.5251,0.9032,0.8102
DenseNet121_B0_baseline_finetune,B0,0.7847,0.6985,0.8427,0.5334,0.5482,0.8987,0.8055
DenseNet121_B0_adaptive_cbam_finetune,B0,0.0978,0.7271,0.8592,0.558,0.5664,0.9023,0.8085
DenseNet121_B0_focal_finetune,B0,0.1089,0.6944,0.8224,0.5621,0.5372,0.9031,0.799
DenseNet121_B1_mc_adaptive_cbam_finetune,B1,0.0467,0.8565,0.9171,0.7352,0.8552,0.9791,0.9229
DenseNet121_B1_adaptive_cbam_finetune,B1,0.0509,0.8283,0.8865,0.7186,0.828,0.9724,0.914
DenseNet121_B1_focal_finetune,B1,0.0585,0.8061,0.8792,0.6936,0.804,0.9657,0.8938
DenseNet121_B1_focal_cbam_finetune,B1,0.0658,0.8044,0.8658,0.6792,0.8009,0.9626,0.8894
DenseNet121_B1_baseline_finetune,B1,0.678,0.7457,0.8076,0.672,0.7427,0.9458,0.8605
